Variant	MC-Lines	MC-Bytes	MC-Gzip	IIPC-Lines	IIPC-Bytes	IIPC-Gzip	Merged-Lines	Merged-Bytes	Merged-Gzip
SEED	473	36312	13051	4716	369144	117136	5189	405456	129763
URIR	440	33370	12556	4716	369144	118498	5155	402470	130903
SURT	439	29075	11888	4708	321781	107108	5145	350792	118315
HxPx	360	23675	10241	4531	306870	101225	4888	330462	110878
HxP1	285	7795	3504	3258	93843	34673	3500	100789	37517
H3P0	233	3502	1595	2555	37937	15504	2731	40727	16629
H1P0	27	102	99	116	389	255	125	424	275
DDom	219	3026	1389	2393	33223	13772	2550	35512	14697
DSub	226	3780	1532	2439	41031	14897	2605	43924	15925
DPth	247	4581	1770	2812	52269	17650	3000	55870	18841
DQry	265	5408	1883	2844	58463	18238	3050	62782	19494
DIni	270	6035	2059	2920	65672	19649	3135	70581	21079
W1.00	331	21174	9417	3677	223885	80074	3950	241732	87515
W0.50	308	18347	8416	3125	170922	63771	3388	186602	70591
W0.10	222	5102	2345	2313	51274	20601	2472	55027	22173
W0.05	209	4622	2185	2197	46827	19303	2348	50334	20771
W0.01	208	2847	1314	2188	29365	12356	2337	31534	13228
